Player,ID,Year,WAR,Age,Tm,Lg,PA,HoF,MVP
Hank Aaron,aaronha01,1969,8.1,35,ATL,NL,639,Y,N
Hank Aaron,aaronha01,1967,8.5,33,ATL,NL,669,Y,N
Hank Aaron,aaronha01,1963,9.1,29,MLN,NL,714,Y,N
Hank Aaron,aaronha01,1962,8.6,28,MLN,NL,667,Y,N
Hank Aaron,aaronha01,1961,9.4,27,MLN,NL,671,Y,N
Hank Aaron,aaronha01,1960,8,26,MLN,NL,664,Y,N
Hank Aaron,aaronha01,1959,8.6,25,MLN,NL,693,Y,N
Hank Aaron,aaronha01,1957,8,23,MLN,NL,675,Y,Y
Dick Allen,allendi01,1972,8.6,30,CHW,AL,609,N,Y
Dick Allen,allendi01,1964,8.8,22,PHI,NL,709,N,N
Jose Altuve,altuvjo01,2017,8.3,27,HOU,AL,662,N,Y
Jeff Bagwell,bagweje01,1994,8.2,26,HOU,NL,479,Y,Y
Home Run Baker,bakerfr01,1912,9.3,26,PHA,AL,648,Y,N
Sal Bando,bandosa01,1969,8.3,25,OAK,AL,734,N,N
Ernie Banks,bankser01,1959,10.2,28,CHC,NL,671,Y,Y
Ernie Banks,bankser01,1958,9.3,27,CHC,NL,682,Y,Y
Ernie Banks,bankser01,1955,8.2,24,CHC,NL,646,Y,N
Jose Bautista,bautijo02,2011,8.3,30,TOR,AL,655,N,N
Adrian Beltre,beltrad01,2004,9.6,25,LAD,NL,657,N,N
Carlos Beltran,beltrca01,2006,8.2,29,NYM,NL,617,N,N
Johnny Bench,benchjo01,1972,8.6,24,CIN,NL,653,Y,Y
Mookie Betts,bettsmo01,2018,10.9,25,BOS,AL,614,N,Y
Mookie Betts,bettsmo01,2016,9.7,23,BOS,AL,730,N,N
Craig Biggio,biggicr01,1997,9.4,31,HOU,NL,744,Y,N
Wade Boggs,boggswa01,1989,8.4,31,BOS,AL,742,Y,N
Wade Boggs,boggswa01,1988,8.3,30,BOS,AL,719,Y,N
Wade Boggs,boggswa01,1987,8.3,29,BOS,AL,667,Y,N
Wade Boggs,boggswa01,1986,8,28,BOS,AL,693,Y,N
Wade Boggs,boggswa01,1985,9.1,27,BOS,AL,758,Y,N
Barry Bonds,bondsba01,2004,10.6,39,SFG,NL,617,N,Y
Barry Bonds,bondsba01,2003,9.2,38,SFG,NL,550,N,Y
Barry Bonds,bondsba01,2002,11.8,37,SFG,NL,612,N,Y
Barry Bonds,bondsba01,2001,11.9,36,SFG,NL,664,N,Y
Barry Bonds,bondsba01,1998,8.1,33,SFG,NL,697,N,N
Barry Bonds,bondsba01,1997,8.2,32,SFG,NL,690,N,N
Barry Bonds,bondsba01,1996,9.7,31,SFG,NL,675,N,N
Barry Bonds,bondsba01,1993,9.9,28,SFG,NL,674,N,Y
Barry Bonds,bondsba01,1992,9,27,PIT,NL,612,N,Y
Barry Bonds,bondsba01,1991,8,26,PIT,NL,634,N,N
Barry Bonds,bondsba01,1990,9.7,25,PIT,NL,621,N,Y
Barry Bonds,bondsba01,1989,8,24,PIT,NL,679,N,N
Bret Boone,boonebr01,2001,8.8,32,SEA,AL,690,N,N
Lou Boudreau,boudrlo01,1948,10.4,30,CLE,AL,676,Y,Y
Lou Boudreau,boudrlo01,1944,8,26,CLE,AL,681,Y,N
Ken Boyer,boyerke01,1961,8,30,STL,NL,664,N,N
George Brett,brettge01,1985,8.3,32,KCR,AL,665,Y,N
George Brett,brettge01,1980,9.4,27,KCR,AL,515,Y,Y
George Brett,brettge01,1979,8.6,26,KCR,AL,701,Y,N
Dan Brouthers,broutda01,1892,8.8,34,BRO,NL,688,Y,N
Dan Brouthers,broutda01,1886,8.2,28,DTN,NL,555,Y,N
Johnny Callison,callijo01,1963,8.1,24,PHI,NL,692,N,N
Robinson Cano,canoro01,2012,8.4,29,NYY,AL,697,N,N
Robinson Cano,canoro01,2010,8.1,27,NYY,AL,696,N,N
Rod Carew,carewro01,1977,9.7,31,MIN,AL,694,Y,Y
Gary Carter,cartega01,1982,8.6,28,MON,NL,653,Y,N
Norm Cash,cashno01,1961,9.2,26,DET,AL,673,N,N
Cesar Cedeno,cedence01,1972,8,21,HOU,NL,625,N,N
Matt Chapman,chapmma01,2018,8.2,25,OAK,AL,616,N,N
Will Clark,clarkwi02,1989,8.6,25,SFG,NL,675,N,N
Roberto Clemente,clemero01,1968,8.1,33,PIT,NL,557,Y,N
Roberto Clemente,clemero01,1967,8.9,32,PIT,NL,632,Y,N
Roberto Clemente,clemero01,1966,8.2,31,PIT,NL,690,Y,Y
Ty Cobb,cobbty01,1917,11.3,30,DET,AL,672,Y,N
Ty Cobb,cobbty01,1916,8,29,DET,AL,637,Y,N
Ty Cobb,cobbty01,1915,9.5,28,DET,AL,701,Y,N
Ty Cobb,cobbty01,1912,9.2,25,DET,AL,610,Y,N
Ty Cobb,cobbty01,1911,10.7,24,DET,AL,656,Y,Y
Ty Cobb,cobbty01,1910,10.6,23,DET,AL,597,Y,N
Ty Cobb,cobbty01,1909,9.9,22,DET,AL,655,Y,N
Eddie Collins,collied01,1915,9.4,28,CHW,AL,681,Y,N
Eddie Collins,collied01,1914,9.1,27,PHA,AL,659,Y,Y
Eddie Collins,collied01,1913,9,26,PHA,AL,654,Y,N
Eddie Collins,collied01,1912,8.8,25,PHA,AL,677,Y,N
Eddie Collins,collied01,1910,10.5,23,PHA,AL,667,Y,N
Eddie Collins,collied01,1909,9.7,22,PHA,AL,666,Y,N
Roger Connor,connoro01,1885,8.2,27,NYG,NL,506,Y,N
Joe Cronin,cronijo01,1930,8.4,23,WSH,AL,686,Y,N
Willie Davis,daviswi02,1964,8.3,24,LAD,NL,652,N,N
Ed Delahanty,delahed01,1899,8,31,PHI,NL,645,Y,N
Art Devlin,devliar01,1906,8,26,NYG,NL,591,N,N
Joe DiMaggio,dimagjo01,1941,9.1,26,NYY,AL,622,Y,Y
Joe DiMaggio,dimagjo01,1939,8.1,24,NYY,AL,524,Y,Y
Joe DiMaggio,dimagjo01,1937,8.2,22,NYY,AL,692,Y,N
Josh Donaldson,donaljo02,2015,8.5,29,TOR,AL,711,N,Y
J.D. Drew,drewj.01,2004,8.3,28,ATL,NL,645,N,N
Lenny Dykstra,dykstle01,1990,8.9,27,PHI,NL,691,N,N
Jacoby Ellsbury,ellsbja01,2011,8.3,27,BOS,AL,732,N,N
Darin Erstad,erstada01,2000,8.3,26,ANA,AL,747,N,N
Darrell Evans,evansda01,1973,9,26,ATL,NL,733,N,N
George Foster,fostege01,1977,8.4,28,CIN,NL,689,N,Y
Jimmie Foxx,foxxji01,1935,8.3,27,PHA,AL,649,Y,N
Jimmie Foxx,foxxji01,1934,9,26,PHA,AL,652,Y,N
Jimmie Foxx,foxxji01,1933,9.2,25,PHA,AL,670,Y,Y
Jimmie Foxx,foxxji01,1932,10.5,24,PHA,AL,702,Y,Y
Frankie Frisch,friscfr01,1927,9.2,29,STL,NL,693,Y,N
Charlie Gehringer,gehrich01,1934,8.4,31,DET,AL,708,Y,N
Lou Gehrig,gehrilo01,1936,9.1,33,NYY,AL,719,Y,Y
Lou Gehrig,gehrilo01,1935,8.7,32,NYY,AL,673,Y,N
Lou Gehrig,gehrilo01,1934,10.4,31,NYY,AL,690,Y,N
Lou Gehrig,gehrilo01,1931,8.8,28,NYY,AL,738,Y,N
Lou Gehrig,gehrilo01,1930,9.6,27,NYY,AL,703,Y,N
Lou Gehrig,gehrilo01,1928,9.4,25,NYY,AL,678,Y,N
Lou Gehrig,gehrilo01,1927,11.8,24,NYY,AL,717,Y,Y
Jason Giambi,giambja01,2001,9.2,30,OAK,AL,671,N,N
Bernard Gilkey,gilkebe01,1996,8.1,29,NYM,NL,656,N,N
