Season,Name,Team,PA,WAR,playerid
1923,Babe Ruth,Yankees,699,15,1011327
1921,Babe Ruth,Yankees,693,13.9,1011327
1920,Babe Ruth,Yankees,615,13.3,1011327
1927,Babe Ruth,Yankees,691,13,1011327
2002,Barry Bonds,Giants,612,12.7,1109
1924,Babe Ruth,Yankees,681,12.5,1011327
1927,Lou Gehrig,Yankees,717,12.5,1004598
2001,Barry Bonds,Giants,664,12.5,1109
1924,Rogers Hornsby,Cardinals,640,12.5,1006030
1926,Babe Ruth,Yankees,652,12,1011327
2004,Barry Bonds,Giants,617,11.9,1109
1908,Honus Wagner,Pirates,641,11.8,1013485
1946,Ted Williams,Red Sox,672,11.8,1014040
1942,Ted Williams,Red Sox,671,11.6,1014040
1956,Mickey Mantle,Yankees,652,11.5,1008082
1917,Ty Cobb,Tigers,669,11.5,1002378
1957,Mickey Mantle,Yankees,623,11.4,1008082
1932,Jimmie Foxx,Athletics,701,11.3,1004285
1921,Rogers Hornsby,Cardinals,674,11.2,1006030
1967,Carl Yastrzemski,Red Sox,680,11.1,1014326
1948,Stan Musial,Cardinals,694,11.1,1009405
1929,Rogers Hornsby,Cubs,712,11.1,1006030
1941,Ted Williams,Red Sox,606,11,1014040
1911,Ty Cobb,Tigers,654,11,1002378
1975,Joe Morgan,Reds,639,11,1009179
1948,Lou Boudreau,Indians,676,10.9,1001234
1925,Rogers Hornsby,Cardinals,605,10.8,1006030
1905,Honus Wagner,Pirates,616,10.8,1013485
1931,Babe Ruth,Yankees,663,10.7,1011327
1965,Willie Mays,Giants,638,10.7,1008315
1934,Lou Gehrig,Yankees,690,10.7,1004598
1922,Rogers Hornsby,Cardinals,704,10.6,1006030
1912,Tris Speaker,Red Sox,675,10.6,1012309
1928,Babe Ruth,Yankees,684,10.6,1011327
1991,Cal Ripken,Orioles,717,10.6,1010978
1962,Willie Mays,Giants,706,10.5,1008315
1930,Babe Ruth,Yankees,676,10.5,1011327
1947,Ted Williams,Red Sox,693,10.5,1014040
1993,Barry Bonds,Giants,674,10.5,1109
1964,Willie Mays,Giants,665,10.5,1008315
1927,Rogers Hornsby,Giants,684,10.4,1006030
2018,Mookie Betts,Red Sox,614,10.4,13611
1910,Ty Cobb,Tigers,590,10.3,1002378
1961,Mickey Mantle,Yankees,646,10.3,1008082
1954,Willie Mays,Giants,640,10.3,1008315
2003,Barry Bonds,Giants,550,10.2,1109
1990,Rickey Henderson,Athletics,594,10.2,194
1884,Fred Dunlap,Maroons,478,10.2,1003566
1961,Norm Cash,Tigers,672,10.2,1002043
2013,Mike Trout,Angels,716,10.1,10155
2002,Alex Rodriguez,Rangers,725,10,1274
2012,Mike Trout,Angels,639,10,10155
1909,Eddie Collins,Athletics,660,10,1002451
1943,Stan Musial,Cardinals,701,9.9,1009405
1914,Benny Kauff,Hoosiers,667,9.9,1006715
1920,George Sisler,Browns,692,9.9,1012021
1990,Barry Bonds,Pirates,621,9.9,1109
2001,Sammy Sosa,Cubs,711,9.9,302
1933,Jimmie Foxx,Athletics,670,9.9,1004285
1949,Ted Williams,Red Sox,730,9.9,1014040
