Player,102_plus_pitches,total_pitches,perc_total,perc_102
Aroldis Chapman,798,8282,9.6,0.654634947
Jordan Hicks,132,1274,10.4,0.10828548
Mauricio Cabrera,64,644,9.9,0.052502051
Joel Zumaya,53,1630,3.3,0.043478261
Bruce Rondon,36,2525,1.4,0.029532404
Henry Rodriguez,28,2903,1,0.022969647
Tayron Guerrero,17,1142,1.5,0.013945857
Kelvin Herrera,12,7328,0.2,0.009844135
Arquimedes Caminero,11,2537,0.4,0.00902379
Neftali Feliz,10,6593,0.2,0.008203445
Bobby Parnell,8,5877,0.1,0.006562756
Andrew Cashner,7,17135,0,0.005742412
Felipe Vazquez,6,4424,0.1,0.004922067
Justin Verlander,6,38796,0,0.004922067
Jonathan Broxton,5,8381,0.1,0.004101723
Brian Wilson,5,6116,0.1,0.004101723
Nathan Eovaldi,5,14051,0,0.004101723
Joe Kelly,5,10560,0,0.004101723
Noah Syndergaard,2,8186,0,0.001640689
Edwin Diaz,2,3133,0.1,0.001640689
Carlos Martinez,1,12832,0,0.000820345
Alex Reyes,1,866,0.1,0.000820345
Daniel Bard,1,4156,0,0.000820345
Trevor Rosenthal,1,5864,0,0.000820345
Yordano Ventura,1,8927,0,0.000820345
Ken Giles,1,4723,0,0.000820345
Jordan Walden,1,3896,0,0.000820345
