PlayerName,Black Ink,Gray Ink,HoF Standards
Babe Ruth*,157,79,340
Ty Cobb*,154,75,417
Rogers Hornsby*,125,76,329
Ted Williams*,122,73,326
Stan Musial*,116,18,390
Honus Wagner*,105,75,367
Dan Brouthers*,79,23,263
Hank Aaron*,76,27,408
Nap Lajoie*,76,66,266
Lou Gehrig*,75,43,315
Mike Schmidt*,74,41,224
Barry Bonds,69,47,289
Alex Rodriguez,68,77,214
Pete Rose,64,25,239
Mickey Mantle*,62,33,272
Cap Anson*,60,64,361
Ross Barnes,60,32,147
Chuck Klein*,60,33,166
Ed Delahanty*,59,27,231
Jimmie Foxx*,59,26,257
Tony Gwynn*,57,20,155
Willie Mays*,57,23,337
Harry Stovey,56,34,210
Carl Yastrzemski*,55,60,206
Ralph Kiner*,52,35,145
Rickey Henderson*,50,53,143
Johnny Mize*,50,23,202
Mel Ott*,50,69,277
Sam Thompson*,49,21,200
Harmon Killebrew*,48,46,193
Gavvy Cravath,46,23,110
Hank Greenberg*,46,27,171
Albert Pujols,45,70,268
Miguel Cabrera,43,44,241
Billy Hamilton*,43,48,133
Ichiro Suzuki,43,44,142
Rod Carew*,42,55,148
Joe Medwick*,41,27,226
Tony Oliva,41,20,146
George Brett*,39,51,159
Tris Speaker*,38,74,346
Wade Boggs*,37,58,138
Paul Waner*,37,61,194
Mark McGwire,36,33,110
Tip O'Neill,36,33,121
Hugh Duffy*,35,55,143
Reggie Jackson*,35,35,175
Sherry Magee,35,35,210
Frank Robinson*,35,19,320
Harry Davis,34,34,134
Joe DiMaggio*,34,27,226
George Burns,9,51,83
Sam Crawford*,33,21,330
Jim Rice*,33,30,176
Richie Ashburn*,32,20,156
Max Carey*,32,36,148
Jesse Burkett*,31,56,174
Willie McCovey*,31,23,126
Dale Murphy,31,34,147
Hack Wilson*,31,39,110
Paul Hines,30,61,186
Mike Trout,30,41,119
Jose Altuve,29,24,68
George Sisler*,29,51,198
Arky Vaughan*,29,53,156
Albert Belle,28,70,137
Duke Snider*,28,47,183
Sammy Sosa,28,23,138
Deacon White*,28,35,180
Heinie Zimmerman,28,20,123
Dick Allen,27,18,159
Roger Connor*,27,26,262
Charlie Gehringer*,27,30,191
Jim O'Rourke*,27,30,291
Home Run Baker*,26,33,196
Ernie Banks*,26,27,167
Lou Brock*,26,43,146
George Foster,26,51,119
Ken Griffey Jr.*,26,39,162
Dave Parker,26,56,145
Lip Pike,26,23,121
Snuffy Stirnweiss,26,22,59
Harry Heilmann*,25,34,241
Harvey Kuenn,25,27,98
David Ortiz,25,36,161
Jeff Bagwell*,24,25,157
Cecil Fielder,24,30,63
Paul Molitor*,24,61,145
Larry Walker,24,58,116
Nolan Arenado,23,20,89
Roberto Clemente*,23,17,154
Elmer Flick*,23,21,179
Nellie Fox*,23,32,131
Benny Kauff,23,25,113
King Kelly*,23,45,221
Don Mattingly,23,28,111
Al Rosen,23,21,97
Al Simmons*,23,21,215
Ginger Beaumont,22,25,114
Cal McVey,22,58,136
Dave Orr,22,56,108
Kirby Puckett*,22,39,122
Bobby Veach,22,30,170
Jim Bottomley*,21,30,145
Pete Browning,21,25,147
Andres Galarraga,21,35,122
Ryan Howard,21,25,84
Juan Pierre,21,18,75
Manny Ramirez,21,26,154
Giancarlo Stanton,21,26,70
Frank Thomas*,21,19,200
Johnny Bench*,20,23,93
Kiki Cuyler*,20,46,137
Charley Jones,20,28,162
Willie Keeler*,20,23,168
Edgar Martinez*,20,38,107
Tim Raines*,20,24,114
John Reilly,20,28,134
Eddie Yost,20,29,74
Luis Aparicio*,19,48,84
Dante Bichette,19,31,81
Eddie Collins*,19,29,271
Abner Dalrymple,19,25,106
Fred Dunlap,19,25,84
Buck Freeman,19,21,95
George Gore,19,51,125
Bill Nicholson,19,23,104
Jose Reyes,19,24,72
Cal Ripken Jr.*,19,58,116
Jimmy Sheckard,19,19,124
Cy Williams,19,31,143
Bert Campaneris,18,27,63
Larry Doby*,18,58,124
Roger Maris,18,26,57
Vada Pinson,18,36,135
Vern Stephens,18,39,141
Billy Williams*,18,48,208
Willie Wilson,18,23,64
Craig Biggio*,17,17,104
Juan Gonzalez,17,18,105
Frank Howard,17,19,121
Frank McCormick,17,19,120
Pete Reiser,17,25,44
Cy Seymour,17,31,110
Willie Stargell*,17,23,125
Roy Thomas,17,23,66
Mike Tiernan,17,41,119
Joey Votto,17,38,143
Ryan Braun,16,25,117
Brett Butler,16,36,117
Todd Helton,16,27,143
Tommy Holmes,16,18,94
George Kell*,16,51,93
Bill Madlock,16,23,55
Eddie Mathews*,16,29,183
Al Oliver,16,21,127
Hardy Richardson,16,31,122
Frank Schulte,16,19,94
Maury Wills,16,30,67
Jose Bautista,15,24,70
Jose Canseco,15,24,93
George Case,15,51,53
Rocky Colavito,15,30,152
Tommy Davis,15,18,54
Dwight Evans,15,44,113
Nomar Garciaparra,15,41,78
Topsy Hartsel,15,19,92
Jackie Jensen,15,38,147
Kenny Lofton,15,43,62
Fred Lynn,15,25,69
Heinie Manush*,15,20,142
Joe Mauer,15,27,43
Levi Meyerle,15,26,84
Minnie Minoso,15,35,189
Joe Morgan*,15,27,131
Charlie Blackmon,14,30,60
Donie Bush,14,34,86
Dolph Camilli,14,26,143
Orlando Cepeda*,14,18,196
Prince Fielder,14,27,100
Dee Gordon,14,22,43
Heinie Groh,14,20,90
Keith Hernandez,14,32,118
Shoeless Joe Jackson,14,40,186
Jimmy Rollins,14,19,82
Edd Roush*,14,36,125
Ryne Sandberg*,14,43,134
Ed Swartwood,14,27,65
Mickey Vernon,14,33,149
Rudy York,14,28,145
Robin Yount*,14,52,120
Tony Armas,13,20,54
Bob Bescher,13,24,54
Tom Brown,13,18,81
Will Clark,13,42,94
Patsy Dougherty,13,32,51
Larry Doyle,13,58,138
Jason Giambi,13,31,115
Paul Goldschmidt,13,61,87
Matt Holliday,13,29,107
Lance Johnson,13,32,44
High Pockets Kelly*,13,22,79
Derrek Lee,13,30,52
Sam Rice*,13,21,153
Mark Teixeira,13,33,78
Miguel Tejada,13,44,80
Jim Thome*,13,30,118
Bill Bruton,12,23,47
Matt Carpenter,12,29,53
Hal Chase,12,30,118
Vince Coleman,12,18,49
Cecil Cooper,12,30,112
Carl Crawford,12,60,48
Jake Daubert,12,32,86
Chris Davis,12,19,44
Dom DiMaggio,12,28,102
Lenny Dykstra,12,21,41
Frankie Frisch*,12,30,131
Steve Garvey,12,23,142
Bryce Harper,12,21,55
Al Kaline*,12,21,228
Matt Kemp,12,29,67
Willie McGee,12,23,56
Jimmy Ryan,12,19,120
Enos Slaughter*,12,41,161
Bill Terry*,12,23,154
Joe Torre*,12,27,71
Felipe Alou,11,20,49
Matty Alou,11,20,57
Mookie Betts,11,26,65
Lou Boudreau*,11,43,82
Andre Dawson*,11,19,164
Augie Galan,11,26,96
Jack Glasscock,11,20,64
Stan Hack,11,18,125
Josh Hamilton,11,24,46
Howard Johnson,11,21,64
Dave Kingman,11,56,74
Ted Kluszewski,11,73,112
Tommy Leach,11,18,114
Kevin Mitchell,11,23,46
Eddie Murray*,11,29,181
Lefty O'Doul,11,31,77
Dustin Pedroia,11,33,70
Johnny Pesky,11,23,79
Ron Santo*,11,41,147
George Stone,11,51,91
Ken Williams,11,39,121
Michael Young,11,36,81
Oyster Burns,10,27,96
Doc Cramer,10,30,71
Nick Etten,10,19,68
Ferris Fain,10,20,38
Jack Fournier,10,20,136
Adrian Gonzalez,10,31,85
Goose Goslin*,10,61,200
Derek Jeter,10,67,145
Andruw Jones,10,34,47
John McGraw*,10,28,50
Terry Pendleton,10,25,51
Brooks Robinson*,10,34,133
Ruben Sierra,10,28,69
Alfonso Soriano,10,31,70
Lloyd Waner*,10,31,71
Ned Williamson,10,19,73
Chicken Wolf,10,24,71
Dale Alexander,9,34,45
Luke Appling*,9,23,103
Adrian Beltre,9,31,98
Wally Berger,9,33,103
Bill Buckner,9,23,94
George Burns,9,51,83
Hick Carpenter,9,41,57
Joe Carter,9,27,103
Ben Chapman,9,23,67
Jack Clark,9,20,87
Bob Dillinger,9,24,34
Ralph Garr,9,35,56
Curtis Granderson,9,25,58
Billy Herman*,9,48,134
Miller Huggins*,9,25,60
Aaron Judge,9,25,31
Pepper Martin,9,21,43
Fred McGriff,9,25,105
Hal McRae,9,30,87
Bob Meusel,9,24,107
Johnny Mostil,9,23,35
Hi Myers,9,41,52
Wally Pipp,9,33,93
Del Pratt,9,22,102
Red Rolfe,9,30,47
Red Schoendienst*,9,30,92
Eddie Stanky,9,29,36
Harry Steinfeldt,9,34,65
Zoilo Versalles,9,26,37
Joe Vosmik,9,27,54
Dixie Walker,9,35,126
Billy Werber,9,48,52
Don Baylor,8,28,67
Lance Berkman,8,32,107
Dave Cash,8,56,33
Fred Clarke*,8,25,153
Ripper Collins,8,21,70
Nelson Cruz,8,24,64
Carlos Delgado,8,22,124
Darrell Evans,8,31,82
Duke Farrell,8,47,82
Bobby Grich,8,30,40
