Player	HoF_Monitor	HoF_Standards	BlackInk	GrayInk
A.J. Pierzynski	108	30	0	0
Aaron Hill	18	17	1	31
Aaron Judge	30	25	9	0
Aaron Rowand	27	0	0	0
Abner Dalrymple	23	0	19	106
Adam Dunn	75	32	4	87
Adam Jones	36	18	1	41
Adrian Beltre	163	55	9	98
Adrian Gonzalez	90	31	10	85
Al Bumbry	29	0	1	33
Al Dark	51	26	5	71
Al Kaline*	160	58	12	228
Al Lopez*	71	24	0	0
Al Oliver	117	40	16	127
Al Rosen	83	29	23	97
Al Simmons*	226	63	23	215
Al Smith	25	0	4	61
Alan Ashby	19	24	0	0
Alan Trammell*	119	40	0	48
Albert Belle	135	36	28	137
Albert Pujols	339	70	45	268
Alcides Escobar	17	0	3	0
Alex Bregman	19	18	2	0
Alex Gordon	31	0	2	0
Alex Johnson	22	0	4	30
Alex Rios	20	0	0	35
Alex Rodriguez	390	77	68	214
Alfonso Soriano	105	31	10	70
Alfredo Griffin	28	0	3	0
Amos Otis	42	27	6	91
Andre Dawson*	118	44	11	164
Andre Ethier	21	18	0	0
Andre Thornton	18	19	0	46
Andres Galarraga	114	35	21	122
Andrew McCutchen	43	28	3	77
Andruw Jones	109	34	10	47
Andy Pafko	37	22	0	51
Andy Seminick	23	30	0	0
Andy Van Slyke	37	19	6	44
Anthony Rendon	22	0	5	28
Anthony Rizzo	35	0	1	68
Aramis Ramirez	85	39	2	53
Arky Vaughan*	116	53	29	156
Arlie Latham	46	25	7	71
Art Fletcher	18	17	0	38
Aubrey Huff	30	20	0	48
Augie Galan	52	26	11	96
Austin Jackson	17	0	2	0
Austin McHenry	22	0	0	26
B.J. Surhoff	30	27	2	0
Babe Herman	74	39	1	138
Babe Phelps	26	19	0	0
Babe Ruth*	415	79	157	340
Baby Doll Jacobson	57	27	1	81
Bake McBride	17	18	0	0
Barney McCosky	41	25	4	51
Barry Bonds	340	77	69	289
Barry Larkin*	121	47	0	66
Beau Bell	34	0	6	32
Ben Chapman	79	37	9	67
Ben Oglivie	32	18	4	38
Ben Zobrist	22	23	0	25
Bengie Molina	29	25	0	0
Benito Santiago	94	30	0	0
Benny Kauff	51	25	23	113
Bernard Gilkey	18	0	0	0
Bernie Williams	134	48	4	61
Bert Campaneris	76	27	18	63
Bibb Falk	30	25	0	38
Bid McPhee*	74	43	6	64
Bill Bradley	16	0	0	73
Bill Bruton	20	0	12	47
Bill Buckner	70	26	9	94
Bill Dahlen	94	48	4	96
Bill Dickey*	178	56	0	56
Bill Everitt	38	21	0	0
Bill Freehan	84	28	0	30
Bill Gleason	19	0	2	35
Bill Hallman	22	18	1	0
Bill Joyce	27	27	8	40
Bill Keister	22	21	1	31
Bill Lamar	19	0	0	0
Bill Lange	45	33	2	28
Bill Madlock	69	31	16	55
Bill Mazeroski*	71	0	2	0
Bill Nicholson	50	22	19	104
Bill North	18	0	4	26
Bill Russell	26	0	0	0
Bill Skowron	38	0	0	43
Bill Terry*	169	42	12	154
Bill White	63	23	0	85
Billy Butler	19	0	1	32
Billy Goodman	30	23	4	54
Billy Hamilton*	154	51	43	133
Billy Herman*	147	38	9	134
Billy Jurges	24	0	0	0
Billy Martin	18	0	0	0
Billy Nash	22	26	0	67
Billy Shindle	20	0	0	38
Billy Werber	33	22	9	52
Billy Williams*	122	48	18	208
Bing Miller	38	30	1	35
Bip Roberts	20	20	0	29
Birdie Tebbetts	17	25	0	0
Bob Allison	30	22	4	100
Bob Bescher	17	0	13	54
Bob Boone	102	25	0	0
Bob Dillinger	35	18	9	34
Bob Elliott	62	34	2	111
Bob Fothergill	40	27	0	37
Bob Johnson	92	46	0	161
Bob Meusel	73	31	9	107
Bob O'Farrell	34	29	0	0
Bob Skinner	19	0	0	29
Bob Watson	28	24	0	49
Bobby Abreu	95	54	5	88
Bobby Avila	33	22	5	52
Bobby Bonds	66	36	6	132
Bobby Bonilla	65	32	3	96
Bobby Doerr*	96	41	5	128
Bobby Grich	43	32	8	40
Bobby Higginson	19	19	0	0
Bobby Lowe	36	23	1	28
Bobby Murcer	29	26	3	95
Bobby Richardson	69	0	6	48
Bobby Thomson	31	21	0	94
Bobby Tolan	19	0	2	41
Bobby Veach	86	34	22	170
Bobby Wallace*	30	30	0	75
Boog Powell	45	25	3	93
Brad Ausmus	80	25	0	0
Brady Anderson	38	26	0	37
Brandon Crawford	25	18	1	0
Brandon Phillips	68	28	0	33
Bret Boone	63	27	4	39
Brett Butler	54	36	16	117
Brian Downing	20	32	2	25
Brian Dozier	25	22	0	29
Brian Giles	53	41	2	57
Brian Harper	17	24	0	0
Brian Jordan	24	17	0	0
Brian McCann	67	34	0	0
Brian Roberts	34	24	6	45
Brooks Robinson*	152	34	10	133
Bryce Harper	58	21	12	55
Bubbles Hargrave	24	20	4	0
Buck Ewing*	35	38	5	97
Buck Freeman	48	18	19	95
Buck Weaver	17	0	0	36
Bucky Dent	23	0	0	0
Bud Harrelson	19	18	0	0
Buddy Bell	67	30	2	33
Buddy Lewis	34	21	2	45
Buddy Myer	86	41	6	45
Bug Holliday	47	26	8	74
Buster Posey	72	38	4	44
Butch Wynegar	21	26	0	0
Cal McVey	41	24	22	136
Cal Ripken Jr.*	236	58	19	116
Candy LaChance	17	0	1	0
Cap Anson*	186	64	60	361
Carl Crawford	53	22	12	48
Carl Everett	21	18	0	0
Carl Furillo	41	27	6	75
Carl Reynolds	37	23	0	28
Carl Yastrzemski*	215	60	55	206
Carlos Baerga	45	19	0	44
Carlos Beltran	126	52	1	76
Carlos Delgado	110	44	8	124
Carlos Gonzalez	44	24	7	47
Carlos Guillen	30	25	0	0
Carlos Lee	79	35	2	41
Carlos Pena	25	18	4	35
Carlos Ruiz	25	26	0	0
Carlton Fisk*	121	49	1	54
Carney Lansford	33	25	4	30
Carson Bigbee	24	0	0	33
Cecil Cooper	96	28	12	112
Cecil Fielder	75	22	24	63
Cecil Travis	52	30	3	38
Cesar Cedeno	43	28	4	70
Cesar Geronimo	20	0	0	0
Cesar Tovar	19	0	8	67
Charles Johnson	25	28	0	0
Charley Jones	26	0	20	162
Charlie Blackmon	58	22	14	60
Charlie Comiskey*	19	0	1	89
Charlie Gehringer*	277	72	27	191
Charlie Grimm	18	19	0	29
Charlie Hollocher	26	0	5	36
Charlie Jamieson	53	28	4	39
Charlie Keller	47	30	4	85
Charlie Neal	20	0	1	0
Chase Utley	94	36	3	42
Chet Lemon	23	20	2	0
Chick Hafey*	68	33	7	79
Chick Stahl	44	24	0	85
Chicken Wolf	26	0	10	71
Chief Meyers	25	0	0	0
Chili Davis	30	39	0	45
Chipper Jones*	181	70	4	107
Chone Figgins	18	19	4	36
Chris Chambliss	16	0	0	38
Chris Davis	46	0	12	44
Chris Sabo	19	0	0	29
Chris Speier	26	19	0	0
Christian Yelich	37	20	7	44
Chuck Klein*	194	48	60	166
Chuck Knoblauch	68	33	3	67
Cliff Floyd	23	22	0	0
Clyde Milan	24	23	6	79
Cookie Rojas	20	0	0	0
Corey Hart	17	0	0	0
Corey Seager	29	22	0	0
Craig Biggio*	169	57	17	104
Cristian Guzman	21	19	3	0
Cupid Childs	56	43	6	75
Curt Flood	59	0	5	58
Curt Walker	25	25	0	33
Curt Welch	25	0	3	74
Curtis Granderson	61	25	9	58
Cy Seymour	46	22	17	110
Cy Williams	44	31	19	143
Dale Alexander	62	29	9	45
Dale Mitchell	44	22	5	36
Dale Murphy	116	34	31	147
Dan Brouthers*	166	55	79	263
Dan Uggla	35	24	2	32
Dan Wilson	24	23	0	0
Daniel Murphy	32	24	7	45
Danny Murphy	20	0	0	103
