Name,GrayInk,BlackInk,HoF_Monitor,HoF_Standards
Cy Young*,468,99,331,82
Walter Johnson*,420,150,364,82
Warren Spahn*,374,101,260,66
Christy Mathewson*,350,92,303,84
Pete Alexander*,342,130,257,77
Greg Maddux*,336,87,254,70
Roger Clemens,320,100,332,73
Lefty Grove*,319,111,233,62
Kid Nichols*,309,35,228,69
Tom Seaver*,292,57,244,66
Eddie Plank*,291,15,187,71
Bobby Mathews,286,30,163,48
Steve Carlton*,285,69,266,58
Randy Johnson*,280,99,331,65
Early Wynn*,264,37,141,44
Red Ruffing*,258,11,130,38
Nolan Ryan*,254,84,257,56
Robin Roberts*,252,64,128,47
Gaylord Perry*,252,29,177,57
Carl Hubbell*,252,51,175,51
Pud Galvin*,250,19,203,60
Mike Mussina*,250,15,121,54
Tim Keefe*,245,58,271,70
Don Sutton*,243,8,149,58
Bert Blyleven*,237,16,121,50
Mickey Welch*,236,3,198,58
Whitey Ford*,234,41,209,56
Bob Feller*,232,98,180,51
Jim McCormick,220,40,195,51
Jim Bunning*,216,28,98,42
Pedro Martinez*,215,58,206,60
Burleigh Grimes*,213,38,115,38
Jim Palmer*,209,44,193,56
Bob Gibson*,207,20,222,54
Fergie Jenkins*,206,36,132,53
Curt Schilling,205,42,171,46
Vic Willis*,204,25,122,43
John Clarkson*,204,60,252,65
Tom Glavine*,202,29,177,52
Don Drysdale*,200,27,134,42
Old Hoss Radbourn*,199,38,221,62
John Smoltz*,199,34,162,44
Tony Mullane,198,28,169,49
Justin Verlander+,197,56,148,46
Juan Marichal*,197,37,159,57
Mordecai Brown*,195,35,169,56
Bobo Newsom,195,15,69,23
Phil Niekro*,194,43,157,52
Stan Coveleski*,193,22,109,38
Jack Morris*,193,20,123,39
Billy Pierce,190,20,82,35
Ted Lyons*,189,32,65,30
Tommy Bond,188,45,143,48
Joe McGinnity*,188,64,164,50
Waite Hoyt*,182,10,94,32
Tommy Bridges,180,17,81,29
Roy Halladay*,180,48,127,45
Paul Derringer,180,19,99,28
Hal Newhouser*,180,47,140,34
Lefty Gomez*,179,46,128,34
Bob Lemon*,179,44,118,34
Amos Rusie*,179,52,187,42
Wilbur Cooper,178,17,76,33
Urban Shocker,178,15,65,33
Gus Weyhing,178,3,126,31
Ed Walsh*,178,67,146,52
Dazzy Vance*,174,66,89,35
Charlie Root,174,12,61,28
CC Sabathia+,174,22,113,46
