Season,wOBA,Name,Team,PA,playerid
2012,0.341,A.J. Ellis,Dodgers,505,5677
2012,0.351,A.J. Pierzynski,White Sox,520,746
2003,0.350,A.J. Pierzynski,Twins,533,746
2006,0.330,A.J. Pierzynski,White Sox,543,746
2009,0.327,A.J. Pierzynski,White Sox,535,746
2004,0.315,A.J. Pierzynski,Giants,510,746
2008,0.315,A.J. Pierzynski,White Sox,570,746
2013,0.313,A.J. Pierzynski,Rangers,529,746
2007,0.309,A.J. Pierzynski,White Sox,509,746
2010,0.302,A.J. Pierzynski,White Sox,503,746
2015,0.371,A.J. Pollock,Diamondbacks,673,9256
2003,0.337,Aaron Boone,- - -,656,311
1999,0.336,Aaron Boone,Reds,521,311
2002,0.326,Aaron Boone,Reds,685,311
2005,0.296,Aaron Boone,Indians,565,311
2018,0.360,Aaron Hicks,Yankees,581,5297
2012,0.375,Aaron Hill,Diamondbacks,668,6104
2009,0.357,Aaron Hill,Blue Jays,734,6104
2007,0.343,Aaron Hill,Blue Jays,657,6104
2006,0.323,Aaron Hill,Blue Jays,606,6104
2010,0.292,Aaron Hill,Blue Jays,580,6104
2011,0.290,Aaron Hill,- - -,571,6104
2014,0.289,Aaron Hill,Diamondbacks,541,6104
2017,0.430,Aaron Judge,Yankees,678,15640
2004,0.308,Aaron Miles,Rockies,566,1844
2004,0.385,Aaron Rowand,White Sox,534,254
2007,0.384,Aaron Rowand,Phillies,684,254
2008,0.328,Aaron Rowand,Giants,611,254
2009,0.323,Aaron Rowand,Giants,546,254
2005,0.322,Aaron Rowand,White Sox,640,254
1921,0.363,Aaron Ward,Yankees,635,1013602
1923,0.360,Aaron Ward,Yankees,640,1013602
1927,0.354,Aaron Ward,White Sox,551,1013602
1920,0.324,Aaron Ward,Yankees,547,1013602
1922,0.322,Aaron Ward,Yankees,641,1013602
1925,0.315,Aaron Ward,Yankees,500,1013602
1891,0.377,Abner Dalrymple,Brewers,142,1002948
1884,0.370,Abner Dalrymple,White Stockings,535,1002948
1878,0.366,Abner Dalrymple,Grays,277,1002948
1885,0.359,Abner Dalrymple,White Stockings,538,1002948
1880,0.355,Abner Dalrymple,White Stockings,385,1002948
1881,0.351,Abner Dalrymple,White Stockings,377,1002948
1882,0.332,Abner Dalrymple,White Stockings,411,1002948
1883,0.324,Abner Dalrymple,White Stockings,374,1002948
1879,0.303,Abner Dalrymple,White Stockings,337,1002948
1887,0.301,Abner Dalrymple,Alleghenys,409,1002948
1930,0.393,Adam Comorosky,Pirates,685,1002486
